Inhalt der zu verarbeitenden Matrizen
-------------------------------------
In jeder Dateizeile stehen, getrennt durch Tabulator:
Zeile	Spalte	Wert
=== Matrix Nr. 19 ===
15263	26453	3
26675	11127	1
26548	10363	7
12748	8865	3
20964	5993	8
5129	21607	2
5233	7538	8
31993	13177	1
26249	29311	3
32132	6786	6
4467	22778	8
21445	18088	4
2491	8646	4
9651	17673	6
23516	18902	3
2679	22596	8
22792	19262	1
2809	15428	3
23588	31186	7
29330	7606	6
26643	1972	6
12006	26611	2
6114	10331	5
10828	1869	2
11897	18685	4
3669	14071	1
22230	2909	2
17483	14598	7
9986	11377	8
26566	15420	1
1851	21084	7
17314	1689	8
3083	30122	6
27645	3305	6
27979	18390	8
10251	16070	8
23859	11645	7
13531	19402	3
27154	11479	2
1637	20961	5
6724	8505	8
7803	3581	1
25974	10972	8
26992	8091	1
24419	15903	4
24208	1243	1
10118	30701	6
30406	30739	2
20091	1313	5
30205	6441	8
11522	2293	7
5148	7196	2
29158	4829	6
22709	25470	3
17196	28260	3
2234	18639	1
1117	30683	3
26581	11767	3
30413	14087	4
22328	6740	1
18977	23814	4
6655	27417	3
8841	29990	3
19322	20972	3
26474	12392	7
28152	19974	8
10343	16862	5
30957	19266	1
24591	22058	5
901	28643	1
8859	23233	3
9475	11507	4
11383	6602	8
30338	11912	8
6038	13739	2
23019	8283	7
4031	23454	2
22595	12393	7
32079	9959	7
7573	7329	4
6955	13960	1
25390	14788	6
6099	30082	7
2277	4357	6
2770	6651	1
17561	16140	4
32522	31213	5
15158	31335	6
26500	5165	1
6368	24724	5
22475	8921	4
26129	12315	2
6655	18589	2
30154	15231	4
3107	31823	7
27950	29676	3
23378	20168	5
7966	15334	1
3809	5390	6
22187	4461	6
11921	29990	4
16768	23627	4
30309	24104	4
1931	6279	6
20410	9323	2
20368	32317	2
31401	24799	6
2161	32575	8
17381	24315	6
23876	18508	8
8847	26301	5
20124	14023	7
30386	6317	6
5509	13615	7
11373	28657	7
17701	32712	1
4335	25284	8
9737	16435	7
32213	5105	2
4728	2541	2
29833	10282	6
15727	23271	7
9897	10316	2
22032	10931	8
2484	30190	2
30624	6149	3
17247	18895	5
23158	14191	7
18781	3072	7
21604	14242	7
19089	9180	4
30587	20127	6
12496	12843	2
5187	152	4
4551	4614	4
8372	7285	2
2725	3410	7
6046	4915	1
5512	30704	4
23607	26273	1
14575	28910	8
7181	8475	4
20638	27494	1
7571	27485	2
27815	26823	3
29690	13954	1
11944	3260	8
16660	24510	4
30294	30449	3
5245	141	3
26086	10598	3
9016	6457	4
7169	16906	2
5498	15623	1
17471	1240	7
4204	11891	3
8281	12210	4
32761	16195	2
15254	25503	4
2314	6990	8
26403	10057	6
1732	13905	4
14670	13504	6
5527	13360	2
25316	30959	8
1351	8293	2
5403	30032	3
10040	29845	8
14289	9401	8
24739	6019	4
8971	10836	5
16502	29911	5
=== Matrix Nr. 20 ===
16373	32303	8
10003	25455	4
13523	3291	2
25139	4923	6
23715	26638	2
2436	31955	6
5726	17496	1
30955	7231	7
16670	9275	2
2926	28081	8
20883	19268	7
17966	32291	5
8838	29701	4
1272	15116	2
17765	23028	2
604	21429	5
30981	1183	7
21324	17361	8
23584	29623	4
12963	21089	5
15930	25564	2
21302	16651	6
27890	29235	4
28470	26487	1
21734	31020	5
515	21319	4
5303	11009	1
5582	4286	2
1493	16086	2
24728	18756	3
4617	2950	8
9318	15417	2
15886	14199	5
29904	3038	6
28808	18195	8
14386	15161	3
31293	23482	1
1307	23356	5
3941	29504	3
27872	5283	1
2911	31833	5
27220	18744	6
20276	11909	6
6162	17026	5
8367	21587	5
5090	7438	4
29427	11545	3
7450	9935	3
17105	18286	5
6673	3144	5
85	18446	6
21751	17279	7
11324	2288	3
31409	29929	7
11091	27309	7
18064	461	4
10989	9881	3
23536	1240	3
6389	31247	7
11055	5321	5
30537	13283	8
29044	31374	6
1372	4860	6
31551	17185	8
11346	4476	8
24508	27394	4
6419	14855	3
32585	9262	8
19725	3331	1
14776	14548	5
31126	23018	4
8492	7234	2
818	21762	3
29862	10425	4
24867	11294	8
31132	9263	3
789	32044	5
28207	16166	6
18880	26558	3
21981	10266	8
16595	3800	4
24769	21311	1
30604	21149	1
12735	2433	5
25281	25020	8
25134	770	6
28234	4261	6
25052	4234	2
7441	14573	8
18565	29871	8
7723	19826	4
27153	22670	4
25285	24598	1
4400	4473	5
21466	7215	5
15418	998	8
6105	17656	1
9807	9587	4
14285	10671	4
23345	17140	6
12459	18721	2
7763	4276	8
26825	7374	6
7687	31347	3
27310	18416	5
20957	30156	5
32182	16649	6
3972	5378	7
2638	3272	4
25560	4459	1
31397	22364	1
9693	19438	1
18981	13715	5
6100	10063	4
1311	10588	6
20148	29504	8
26463	15738	2
4773	12398	3
25519	14996	1
2900	5382	4
30571	11234	5
24891	13924	1
5297	13347	1
6445	26597	5
29410	9129	4
25028	2078	8
2140	26262	7
25229	27871	2
8636	20129	8
27392	13255	8
18958	32258	2
13216	16481	4
21680	24909	4
19939	29171	5
9430	17509	1
28586	27279	4
6123	13018	3
3440	28169	6
3911	3646	7
17026	15059	2
19188	9568	2
26836	6134	3
27258	11626	5
2642	31395	1
18911	23129	7
5057	27407	6
24676	1602	3
30092	914	8
5040	28513	2
14605	22085	6
27994	8945	8
4399	1177	2
6673	16175	2
9098	12688	8
24801	24858	4
17211	678	8
9784	25299	2
10535	27796	7
25018	5545	4
28017	24677	5
32530	28465	5
13383	25240	6
16685	17145	5
13392	31054	3
15539	10941	7
1889	32681	4
10645	15655	3
9803	7150	4
29953	14200	5
5848	8969	8
29740	22709	3
16207	28538	4
11679	27946	7
5404	27357	5
12823	32609	7
1140	4240	6
16151	24544	4
3329	21783	7
13492	18247	2
13313	29007	4
5451	20137	6
9822	24992	7
8482	26677	4
17829	18586	3
31006	30348	7
28905	8649	4
23313	11086	7
14067	7337	6
20317	1484	3
20818	24820	3
21196	12514	2
24607	13520	2
=== Matrix Nr. 21 ===
30963	11103	7
27805	21118	8
644	10379	6
19703	32402	2
16460	32426	2
11716	28910	5
9949	22411	6
22052	12776	4
9	15234	3
16781	31331	3
32446	2405	3
30369	16590	4
28390	3679	2
9383	13882	7
7764	18105	8
6523	24079	8
15591	27874	2
8203	28671	7
8551	28260	2
23498	10065	5
28105	13961	6
20369	21398	6
18657	3288	4
32494	15971	8
7335	6577	4
3793	5802	4
20379	3512	2
1806	24005	6
5355	30924	7
26684	6997	2
618	9143	3
16846	13432	8
27767	19426	8
25210	30735	5
26473	689	4
=== Matrix Nr. 22 ===
12623	5383	2
2836	14925	6
18437	4315	8
136	18442	2
5995	17365	4
19226	26800	4
17670	11696	7
30036	11590	6
7473	28840	3
8033	14136	4
30574	14885	2
12296	24809	7
21151	10102	8
27238	27670	3
19800	6752	7
14804	8593	4
670	17518	2
29377	1595	4
19870	16704	3
25197	30545	1
5954	14154	8
8390	13398	8
9913	29640	2
32469	10063	3
2626	8659	2
29049	11275	5
8158	26063	5
19307	15776	7
7605	7604	8
19127	23924	6
18517	7141	5
15669	18786	7
22799	13699	3
7330	16092	3
283	16007	5
20076	10011	5
1626	23820	3
31821	11450	2
15547	19078	5
